ts_utc,pair,direction,expiry_min,entry_time,ml_levels,raw_len
2025-08-11T05:25:37.816673,EUR/USD,BUY,5,01:30,01:35|01:40|01:45,180
2025-08-11T05:40:37.929842,USD/CAD,BUY,5,01:45,01:50|01:55|02:00,180
2025-08-11T05:55:38.043674,GBP/JPY,BUY,5,02:00,02:05|02:10|02:15,180
2025-08-11T06:10:13.006330,EUR/USD,BUY,5,02:15,02:20|02:25|02:30,180
2025-08-11T17:30:41.889597,CHF/JPY,SELL,5,13:35,13:40|13:45|13:50,181
2025-08-11T17:50:42.000491,GBP/JPY,BUY,5,13:55,14:00|14:05|14:10,180
2025-08-11T20:20:14.003735,USD/CAD,SELL,5,16:25,16:30|16:35|16:40,181
2025-08-11T20:31:14.129999,EUR/USD,SELL,5,16:35,16:40|16:45|16:50,181
2025-08-12T04:45:20.004748,GBP/AUD,SELL,5,00:50,00:55|01:00|01:05,181
2025-08-12T05:00:58.970434,GBP/USD,BUY,5,01:05,01:10|01:15|01:20,180
2025-08-12T05:20:48.288871,EUR/CHF,BUY,5,01:25,01:30|01:35|01:40,180
